Link,Text
https://rpp.pe/futbol/descentralizado/tabla-posiciones-vivo-liga1-2023-directo-resultados-fixture-apertura-alianza-lima-universitario-sporting-cristal-noticia-1464845,Liga 1 Betsson 2023 EN VIVO: así marcha la tabla del Torneo Apertura tras triunfo de Universitario
https://rpp.pe/futbol/descentralizado/binacional-vs-sport-huancayo-como-cuando-y-donde-en-directo-partido-por-fecha-12-del-apertura-liga-1-betsson-2023-noticia-1479027,Binacional vs. Sport Huancayo: partido por Torneo Apertura de Liga 1 Betsson 2023
https://rpp.pe/futbol/descentralizado/gol-universitario-emanuel-herrera-anoto-el-2-1-con-definicion-de-9-ante-municipal-noticia-1479111,Definición de '9': así fue el gol de Herrera tras pase de Valera en Universitario vs Municipal [VIDEO]
https://rpp.pe/mundo/estados-unidos/eeuu-joe-biden-urge-a-restringir-el-uso-de-las-armas-tras-varios-sucesos-violentos-noticia-1479109,EE.UU.: Biden urge a restringir el uso de las armas tras varios sucesos violentos
https://rpp.pe/futbol/descentralizado/ver-carlos-mannucci-vs-alianza-atletico-como-cuando-y-donde-en-directo-partido-por-fecha-12-del-apertura-liga-1-betsson-2023-noticia-1479028,Carlos Mannucci vs Alianza Atlético: partido por el Torneo Apertura de la Liga 1 Betsson 2023
https://rpp.pe/futbol/futbol-mundial/independiente-vs-racing-via-espn-en-vivo-como-cuando-y-donde-ver-el-clasico-de-avellaneda-por-fecha-12-de-liga-profesional-2023-noticia-1479029,Repartieron puntos: Independiente empató 1-1 ante Racing por la Liga Profesional 2023
https://rpp.pe/peru/actualidad/mtc-ejecuta-acciones-de-emergencia-en-las-regiones-de-piura-y-lambayeque-noticia-1479106,MTC ejecuta acciones de emergencia en las regiones de Piura y Lambayeque
https://rpp.pe/ciencia/espacio/spacex-anuncia-el-primer-vuelo-de-starship-asi-puedes-ver-el-despegue-del-cohete-mas-poderoso-del-mundo-noticia-1478994,SpaceX anuncia el primer vuelo de Starship: mira EN VIVO el despegue del cohete más poderoso del mundo
https://rpp.pe/futbol/descentralizado/adt-vs-cusco-fc-en-vivo-canales-tv-y-horarios-en-directo-transmision-por-fecha-12-del-apertura-liga-1-betsson-2023-noticia-1479018,Cusco FC venció 2-0 a ADT en Tarma y se coloca en el tercer lugar del Torneo Apertura de la Liga 1
https://rpp.pe/futbol/descentralizado/gol-universitario-alex-valera-anoto-de-cabeza-el-empate-1-1-ante-municipal-noticia-1479105,Volvió el goleador: Alex Valera anotó de cabeza el 1-1 en el Universitario vs Municipal
https://rpp.pe/peru/actualidad/ancash-continua-interrumpida-la-via-pariacoto-huaraz-tras-derrumbe-de-un-cerro-noticia-1479104,Áncash: continúa interrumpida la vía Pariacoto-Huaraz tras derrumbe de un cerro
https://rpp.pe/tecnologia/google/google-esta-trabajando-en-un-buscador-impulsado-por-inteligencia-artificial-noticia-1479101,Google está trabajando en un buscador impulsado por inteligencia artificial
